NO,CODE,DESCRIPTION,Brand,MODEL,OEM,PCS,NW,GW,M3,START_YEAR,END_YEAR,manufacturer,part_type,model_series,front/back,location
3,IZDH049 NB,DOOR HANDLE COVER 4DR,Isuzu,D-MAX,BVZ4-3SRQ7-01,1,14.17,0.67,0.07,"2,007","2,007",,,,,
3,IZDH037 SB,DOOR HANDLE COVER W/INSERT,Isuzu,D-MAX,HACR-PD5LK-VR,20,0.56,11.82,0.13,"2,003","2,005",,,,,
1,IZDH037 SA,DOOR HANDLE COVER W/INSERT,Isuzu,D-MAX,PL7M-RZZRU-OF,1,0.13,0.22,0,"2,007","2,007",,,,,
2,IZDH037 SB,DOOR HANDLE COVER W/INSERT,Isuzu,D-MAX,NNFN-UHOE9-T7,20,0.6,11.83,0.14,"2,003","2,005",,,,,
1,IZDH049 SB,DOOR HANDLE COVER WITH INSERT 4DR,Isuzu,D-MAX,9VT3-R4CMY-8C,1,0.57,0.64,1.12,"2,006","2,008",,,,,
10,FDDI035 SB,DOOR HANDLE INSERT 4DR,Ford,RANGER DURATORQ,5D0U-91VEG-E8,1,7.99,7.88,0.29,"2,007","2,008",,,,,
17,UH71-59-410,DOOR HANDLE LH (BK),Ford,FORD RANGER,UH71-59-410,1,0.1,0.12,0,"1,999","2,001",,Door Mouldings,,Front,Left Side
7,UM46-59-410A,DOOR HANDLE OUT SIDE LH (CP) FRT,Ford,FORD RANGER,UM46-59-410A,1,0.09,0.1,0,"2,002","2,005",,Door Mouldings,,Front,Right Side
,UH71-58-410,DOOR HANDLE RH (BK),Ford,FORD RANGER,UH71-58-410,1,0.11,0.1,0,"1,999","2,001",,Door Mouldings,,Front,Right Side
2,IZDH037 SA,DOOR HANDLE W/COVER INSERT,Isuzu,D-MAX,R2S6-90CVT-O4,1,0.11,0.25,0,"2,003","2,005",,,,,
8,FDDH035 SA,DOOR HANDLE WITH COVER INSERT 2DR,Ford,RANGER,VZP2-3BVMA-QU,1,5.62,0.24,0.15,"2,007","2,009",,,,,
9,FDDH035 SB,DOOR HANDLE WITH COVER INSERT 4DR,Ford,RANGER,EKZB-USR1R-1R,1,11.28,1.75,0.44,"2,007","2,008",,,,,
1,FDMR029 LA,DOOR MIRRIR BK LH,Ford,FORD RANGER,UH71-69-180A,1,0.51,0.74,0.05,"1,999","2,003",,,,,
2,FDMR011 LA,DOOR MIRROE LH (SPORT),Ford,FIESTA,5N21-17683-ABYYH5,1,10.56,20.65,0.74,"2,003","2,005",,,,,
3,8-97357-859-0,DOOR MIRROR BK LH,Isuzu,ISUZU DMAX,8-97357-859-0,1,1.92,2.76,0.02,"2,002","2,005",,Door Mirror,,Back,Left Side
4,IZMR037 LD,DOOR MIRROR BK LHD LH,Isuzu,D-MAX,9EKU-MDS4X-6G,4,4.73,6.26,0.04,"2,002","2,003",,,,,
,IZMR037 RD,DOOR MIRROR BK LHD RH,Isuzu,D-MAX,7HJ2-5EF3E-84,4,6.49,5.7,0.05,"2,002","2,003",,,,,
,FDMR029 RA,DOOR MIRROR BK RH,Ford,FORD RANGER,UH71-69-120A,1,0.5,0.66,0.05,"1,999","2,003",,,,,
,8-97357-860-0,DOOR MIRROR BK RH,Isuzu,ISUZU DMAX,8-97236-060-4,1,1.79,2.18,0.02,"2,002","2,005",,Door Mirror,,Back,Right Side
1,IZMR037 LA,DOOR MIRROR BK RHD,Isuzu,ISUZU D-MAX,8-97236-057-4,6,9.96,13.07,0.11,"2,002","2,003",,,,,
,IZMR037 RA,DOOR MIRROR BK RHD,Isuzu,ISUZU D-MAX,8-97236-060-4,6,8.93,10.99,0.1,"2,002","2,003",,,,,
8,FDMC035 SA,DOOR MIRROR COVER CP,Ford,DURATORQ,4Y5D-RZVL3-SI,1,0.59,0.78,0.01,"2,006","2,009",,,,,
7,FDMC029 LB,DOOR MIRROR COVER WITH LED CHROME LH,Ford,RANGER,75W9-F9QEN-IG,2,0.81,0.73,0.01,"2,003","2,005",,,,,
10,FDMC031 LB,DOOR MIRROR COVER WITH LED CHROME LH,Ford,OPEN CAB,1XZ4-BZKC6-VU,1,2.49,2.91,0.43,"2,002","2,005",,,,,
7,IZMC037 LB,DOOR MIRROR COVER WITH LED CHROME LH,Isuzu,D-MAX/CHEVY,382Z-9UUH6-23,10,8.36,13.65,0.14,"2,006","2,007",,,,,
,FDMC029 RB,DOOR MIRROR COVER WITH LED CHROME RH,Ford,RANGER,D827-GEWWP-C7,2,0.81,0.89,0.01,"2,003","2,005",,,,,
,FDMC031 RB,DOOR MIRROR COVER WITH LED CHROME RH,Ford,OPEN CAB,CA2R-AJUD7-73,1,0.74,11.14,0.32,"2,002","2,005",,,,,
,IZMC037 RB,DOOR MIRROR COVER WITH LED CHROME RH,Isuzu,D-MAX/CHEVY,35EG-TQ3WQ-R9,10,0.66,11.25,0.15,"2,006","2,007",,,,,
8,FDMC029 LC,DOOR MIRROR COVER WITH LED COLOR LH,Ford,RANGER,E3LI-KZACC-ES,1,14.99,1.7,1.06,"2,003","2,005",,,,,
11,FDMC031 LC,DOOR MIRROR COVER WITH LED COLOR LH,Ford,OPEN CAB,NOXL-8Z304-BS,1,5.98,5.82,0.39,"2,002","2,005",,,,,
8,IZMC037 LC,DOOR MIRROR COVER WITH LED COLOR LH,Isuzu,D-MAX/CHEVY,RJO5-JVRU9-8J,1,12.19,9.9,0.12,"2,006","2,007",,,,,
,FDMC029 RC,DOOR MIRROR COVER WITH LED COLOR RH,Ford,RANGER,DGET-31K3C-9X,1,3.04,7.68,0.76,"2,003","2,005",,,,,
,FDMC031 RC,DOOR MIRROR COVER WITH LED COLOR RH,Ford,OPEN CAB,ROW3-GRFJX-RY,1,7.61,8.07,0.92,"2,002","2,005",,,,,
,IZMC037 RC,DOOR MIRROR COVER WITH LED COLOR RH,Isuzu,D-MAX/CHEVY,D71F-Z9BU8-GC,1,1.14,1.27,0.63,"2,006","2,007",,,,,
6,FDMC029 LA,DOOR MIRROR COVER WITH LED MAT LH,Ford,RANGER,82IQ-K7XED-FN,1,5.31,3.03,0.4,"2,003","2,005",,,,,
9,FDMC031 LA,DOOR MIRROR COVER WITH LED MAT LH,Ford,OPEN CAB,N1I2-VGHT2-BF,1,8.47,8.52,0.59,"2,002","2,005",,,,,
6,IZMC037 LA,DOOR MIRROR COVER WITH LED MAT LH,Isuzu,D-MAX/CHEVY,EPSD-JJ86Z-A6,1,1.92,7.57,1.29,"2,006","2,007",,,,,
,FDMC029 RA,DOOR MIRROR COVER WITH LED MAT RH,Ford,RANGER,0OV1-GS9NO-OU,1,4.26,20.01,0.41,"2,003","2,005",,,,,
,FDMC031 RA,DOOR MIRROR COVER WITH LED MAT RH,Ford,OPEN CAB,TB7N-ADJ47-BL,1,12.21,1.06,0.16,"2,002","2,005",,,,,
,IZMC037 RA,DOOR MIRROR COVER WITH LED MAT RH,Isuzu,D-MAX/CHEVY,ATXA-4S9LF-0A,1,8.24,9.59,1.73,"2,006","2,007",,,,,
2,IZMR037 LB,DOOR MIRROR CP ELECTRIC RHD,Isuzu,ISUZU D-MAX,8-97236-065-3,1,3.01,5.17,0.03,"2,002","2,003",,,,,
,IZMR037 RB,DOOR MIRROR CP ELECTRIC RHD,Isuzu,ISUZU D-MAX,8-97236-067-3,1,2.82,4.53,0.03,"2,002","2,003",,,,,
5,FDMR031 LB,DOOR MIRROR CP LH,Ford,RANGER,UM48-69-180D,1,2.33,3.69,0.44,"2,003","2,003",,,,,
3,IZMR049 LC,DOOR MIRROR CP LH,Isuzu,TFR D-MAX,8-97357-870-0,1,1.65,2.22,0.05,"2,002","2,003",,,,,
3,IZMR037 LC,DOOR MIRROR CP MANUAL LH RHD,Isuzu,D-MAX,4G9S-TV73S-CR,4,4.8,5.7,0.04,"2,002","2,003",,,,,
,IZMR037 RC,DOOR MIRROR CP MANUAL RH RHD,Isuzu,D-MAX,DDKD-GB8UY-J6,4,5.04,6.61,0.04,"2,002","2,003",,,,,
,FDMR031 RB,DOOR MIRROR CP RH,Ford,RANGER,UM48-69-120D,1,21.83,4.05,0.11,"2,003","2,003",,,,,
,IZMR049 RC,DOOR MIRROR CP RH,Isuzu,TFR D-MEX,8-97357-871-0/97236-067-3,1,1.74,2.14,0.04,203,203,,,,,
6,8-98116-414-0,DOOR MIRROR CP WITH LIGHT LH,Isuzu,DMAX,8-98116-414-0,1,1.98,2.59,0.02,"2,008","2,008",,Door Mirror,,Front,Left Side
5,8-98157-144-0,DOOR MIRROR CP WITH LIGHT LH,Isuzu,D-MAX,8-98157-144-0,1,2.84,2.77,0.02,"2,008","2,008",,Door Mirror,,Front,Left Side
,8-98116-412-0,DOOR MIRROR CP WITH LIGHT RH,Isuzu,DMAX,8-98116-412-0,1,2.93,2.82,0.02,"2,008","2,008",,Door Mirror,,Front,Right Side
,8-98157-143-0,DOOR MIRROR CP WITH LIGHT RH,Isuzu,D-MAX,8-98157-143-0,1,1.98,2.49,0.02,"2,008","2,008",,Door Mirror,,Front,Right Side
9,FDMR039 LD,DOOR MIRROR ELE CP W/LAMP LH,Ford,RANGER,AB39-17-683AJF/UD0,N 1,10.03,14.63,0.41,"2,011","2,013",,,,,
,FDMR039 RD,DOOR MIRROR ELE CP W/LAMP RH,Ford,RANGER,AB39-17-682AJF/UD0,N 1,4.4,6.29,0.27,"2,011","2,013",,,,,
7,UR58-69-180-B92,DOOR MIRROR ELEC LH (SILVER),Ford,RANGER/BT-50,UR58-69-180-B92,1,1.64,1.64,0.02,"2,006","2,007",,Door Mirror,,Front,Left Side
,UR58-69-120-B92,DOOR MIRROR ELEC RH (SILVER),Ford,RANGER/BT-50,UR58-69-120-B92,1,1.31,2.01,0.01,"2,006","2,007",,Door Mirror,,Front,Right Side
6,FDMR065 LA,DOOR MIRROR LH,Ford,ECOSPORT,9I4I-SIZ36-W7,1,4.82,23.17,0.3,"2,013","2,016",,,,,
1,FDMR015 LA,DOOR MIRROR LH,Ford,FIESTA,8A61-17683-,20,2.7,30.62,1.49,"2,009","2,010",,,,,
12,FDMR041 LA,DOOR MIRROR LH,Ford,FOCUS,4M51-17-683CH,6,3.13,8.61,0.03,"2,005","2,007",,,,,
,FDMR045 LA,DOOR MIRROR LH,Ford,FOCUS,6M5A-17983-AC,1,0.28,5.24,2.49,"2,007","2,010",,,,,
12,IZMR035 LA,DOOR MIRROR LH,Isuzu,GM,GM2719051,20,7.45,9.96,0.12,"2,003","2,003",,,,,
3,FDMR011 LB,DOOR MIRROR LH (ELECTRIC),Ford,FIESTA,3N21-17683-CBXWAA,1,9.17,8.24,0.47,"2,003","2,005",,,,,
5,IZMR055 LC,DOOR MIRROR LH BK ELECTRIC W/LAMP LHD,Isuzu,D-MAX,8-98193-672-0LHD,10,10.89,11.54,0.19,"2,012","2,016",,,,,
3,IZMR055 LA,DOOR MIRROR LH BK ELECTRIC W/LED RHD,Isuzu,D-MAX,8-98193-672-0,10,9.81,11.88,0.17,"2,012","2,016",,,,,
4,FDMR031 LA,DOOR MIRROR LH BK MANAUL,Ford,RANGER,UJ06-69-180A,20,14.7,14.93,0.15,"2,002","2,005",,,,,
2,IZMR053 LC,DOOR MIRROR LH BK MANUAL LHD,Isuzu,D-MAX,8-98065-318-3LHD,10,15.92,15.27,0.17,"2,012","2,016",,,,,
1,IZMR053 LA,DOOR MIRROR LH BK MANUAL RHD,Isuzu,D-MAX,8-98065-318-3,10,10.9,11.51,0.15,"2,012","2,016",,,,,
8,8-98065-334-4,DOOR MIRROR LH CHROME WITH SIGNAL LAMP,Isuzu,D-MAX,8-98065-334-4,1,1.91,2.58,0.02,"2,012","2,016",,Door Mirror,,Front,Left Sdie
6,IZMR055 LD,DOOR MIRROR LH CP ELECTRIC W/LED 5 CORD LHD,Isuzu,D-MAX,8-98615-334-4LHD,10,11.18,12.99,0.17,"2,012","2,016",,,,,
4,IZMR055 LB,DOOR MIRROR LH CP ELECTRIC W/LED 5 CORD RHD,Isuzu,D-MAX,8-98065-334-4,10,1.53,18.08,0.27,"2,012","2,016",,,,,
,FDMR041 LB,DOOR MIRROR LH ELECTRIC,Ford,FOCUS 4/5 Drs,4M51-17683-CH,1,9.35,0.79,1.2,"2,005","2,006",,,,,
1,IZMR051 LA,DOOR MIRROR LH ELECTRIC BK W/ LONG LED LAMP 5 CORD RHD,Isuzu,D-MAX,8-97408-273-1,10,7.1,11.83,0.11,"2,008","2,010",,,,,
7,FDMR037 LA,DOOR MIRROR LH ELECTRIC BK W/LED 5 CORD RHD,Ford,DURATORQUE,UB9F-69-180,10,11.86,13.36,0.16,"2,008","2,012",,,,,
5,FDMR035 LC,DOOR MIRROR LH ELECTRIC BK W/LED LHD,Ford,DURATORQ,UB9F-69-180LHD,1,1.46,1.59,0.02,"2,008","2,012",,,,,
3,IZMR051 LC,DOOR MIRROR LH ELECTRIC BK W/LONG LED LAMP 5 CORD LHD,Isuzu,D-MAX,8-97408-273-1LHD,10,8.36,11.21,0.11,"2,008","2,010",,,,,
4,FDMR035 LB,DOOR MIRROR LH ELECTRIC CP RHD,Ford,DURATORQ,UR57-69-180C,10,14.02,13.98,0.17,"2,006","2,008",,,,,
9,FDMR037 LD,DOOR MIRROR LH ELECTRIC CP W/LED 5 CORD LHD,Ford,DURATORQUE,UB9D-69-180LHD,10,11.62,13.82,0.14,"2,008","2,012",,,,,
8,FDMR037 LB,DOOR MIRROR LH ELECTRIC CP W/LED 5 CORD RHD,Ford,DURATORQUE,UB9D-69-180,10,10.23,13.33,0.15,"2,008","2,012",,,,,
4,IZMR051 LD,DOOR MIRROR LH ELECTRIC CP W/LONG LED LAMP 5 CORD LHD,Isuzu,D-MAX,8-98116-414-0LHD,10,8.37,9.82,0.12,"2,008","2,010",,,,,
2,IZMR051 LB,DOOR MIRROR LH ELECTRIC CP W/LONG LED LAMP 5 CORD RHD,Isuzu,D-MAX,8-98116-414-0,10,7.58,9.26,0.11,"2,008","2,010",,,,,
,FDMR047 LA,DOOR MIRROR LH EUROPE,Ford,FOCUS,X8CM-L0ZH5-4A,1,5.08,22.78,1.6,"2,009","2,010",,,,,
4,8-97363-788-0,DOOR MIRROR LH OEM,Isuzu,D- MAX LT,8-97363-788-0,1,1.8,1.97,0.01,"2,006","2,006",,Door Mirror,,Front,Left Side
7,8-98193-672-0,DOOR MIRROR LH WITH SIGNAL LAMP,Isuzu,D-MAX,8-98193-672-0,1,2,2.41,0.03,"2,012","2,016",,Door Mirror,,Front,Left Side
6,FDMR035 LD,DOOR MIRROR LHD ELECTRIC CP LH,Ford,RANGER,UR57-69-180,10,2.03,18.14,0.19,"2,006","2,008",,,,,
,FDMR035 RD,DOOR MIRROR LHD ELECTRIC CP RH,Ford,RANGER,UR57-69-120,8,1.8,19.36,0.17,"2,006","2,008",,,,,
3,FDMR035 LA,DOOR MIRROR MANUAL BLACK LHD LH,Ford,RANGER,UR56-59-180,20,16.91,16.89,0.15,"2,006","2,008",,,,,
,FDMR035 RA,DOOR MIRROR MANUAL BLACK LHD RH,Ford,RANGER,UR56-69-120,20,16.23,14.88,0.17,"2,006","2,008",,,,,
1,IZMR049 LA,DOOR MIRROR NORMAL LH,Isuzu,DMAX,8-97236-060-4,1,1.96,2.53,0.02,"2,007","2,008",,,,,
,IZMR049 RA,DOOR MIRROR NORMAL RH,Isuzu,DMAX,8-97236-057-4,1,1.84,2.24,0.02,"2,007","2,008",,,,,
,FDMR065 RA,DOOR MIRROR RH,Ford,ECOSPORT,0QDT-RXG5M-JN,1,21.93,7.54,2.47,"2,013","2,016",,,,,
,FDMR011 RA,DOOR MIRROR RH,Ford,FIESTA,5N21-17682-ABYYH5,1,26.7,8.21,1.01,"2,003","2,005",,,,,
,FDMR015 RA,DOOR MIRROR RH,Ford,FIESTA,8A61-17682-,20,2.43,27.85,0.54,"2,009","2,010",,,,,
,FDMR041 RA,DOOR MIRROR RH,Ford,FOCUS,4M51-17-682CH,6,8.09,20.34,0.03,"2,005","2,007",,,,,
13,FDMR045 RA,DOOR MIRROR RH,Ford,FOCUS,6M5A-17982-AC,1,6.49,1.52,0.29,"2,007","2,010",,,,,
,IZMR035 RA,DOOR MIRROR RH,Isuzu,GM,GM2719052,20,7.76,9.68,0.11,"2,003","2,003",,,,,
,FDMR011 RB,DOOR MIRROR RH (ELECTRIC),Ford,FIESTA,3N21-17682-CBXWAA,1,11.44,3.14,0.85,"2,003","2,005",,,,,
,IZMR055 RC,DOOR MIRROR RH BK ELECTRIC W/LAMP LHD,Isuzu,D-MAX,8-98193-671-0LHD,10,11.89,12.06,0.2,"2,012","2,016",,,,,
,IZMR055 RA,DOOR MIRROR RH BK ELECTRIC W/LED RHD,Isuzu,D-MAX,8-98193-671-0,10,9.64,12.89,0.18,"2,012","2,016",,,,,
,FDMR031 RA,DOOR MIRROR RH BK MANAUL,Ford,RANGER,UJ06-69-120A,20,18.11,17.76,1.18,"2,002","2,005",,,,,
,IZMR053 RC,DOOR MIRROR RH BK MANUAL LHD,Isuzu,D-MAX,8-98065-317-3LHD,10,13.85,16.04,0.16,"2,012","2,016",,,,,
,IZMR053 RA,DOOR MIRROR RH BK NORMAL RHD,Isuzu,D-MAX,8-98065-317-3,10,10.91,12.68,0.16,"2,012","2,016",,,,,
,8-98065-333-4,DOOR MIRROR RH CHROME WITH SIGNAL LAMP,Isuzu,D-MAX,8-98065-333-4,1,1.96,2.52,0.03,"2,012","2,016",,Door Mirror,,Front,Right Side
,IZMR055 RD,DOOR MIRROR RH CP ELECTRIC W/LED 5 CORD LHD,Isuzu,D-MAX,8-98165-333-4LHD,10,8.23,11.82,0.18,"2,012","2,016",,,,,
,IZMR055 RB,DOOR MIRROR RH CP ELECTRIC W/LED 5 CORD RHD,Isuzu,D-MAX,8-98065-333-4,10,1.68,20.97,0.21,"2,012","2,016",,,,,
13,FDMR041 RB,DOOR MIRROR RH ELECTRIC,Ford,FOCUS 4/5 Drs,4M51-17682-CH,1,6.14,3.87,0.26,"2,005","2,006",,,,,
,FDMR037 RA,DOOR MIRROR RH ELECTRIC BK W/LED 5 CORD RHD,Ford,DURATORQUE,UB9F-69-120,10,10.32,14.61,0.16,"2,008","2,012",,,,,
,FDMR035 RC,DOOR MIRROR RH ELECTRIC BK W/LED LHD,Ford,DURATORQ,UB9F-69-120LHD,1,1.42,1.59,0.02,"2,008","2,012",,,,,
,IZMR051 RC,DOOR MIRROR RH ELECTRIC BK W/LONG LED LAMP 5 CORD LHD,Isuzu,D-MAX,8-97408-273-2LHD,10,7.28,10.49,0.12,"2,008","2,010",,,,,
,IZMR051 RA,DOOR MIRROR RH ELECTRIC BK W/LONG LED LAMP 5 CORD RHD,Isuzu,D-MAX,8-97408-273-2,10,7.55,10.19,0.12,"2,008","2,010",,,,,
,FDMR035 RB,DOOR MIRROR RH ELECTRIC CP RHD,Ford,DURATORQ,UR57-69-120C,10,11.11,13.73,0.17,"2,006","2,008",,,,,
,FDMR037 RD,DOOR MIRROR RH ELECTRIC CP W/LED 5 CORD LHD,Ford,DURATORQUE,UB9D-69-120LHD,10,11.73,11.79,0.15,"2,008","2,012",,,,,
,FDMR037 RB,DOOR MIRROR RH ELECTRIC CP W/LED 5 CORD RHD,Ford,DURATORQUE,UB9D-69-120,10,12.96,15.26,0.16,"2,008","2,012",,,,,
,IZMR051 RD,DOOR MIRROR RH ELECTRIC CP W/LONG LED LAMP 5 CORD LHD,Isuzu,D-MAX,8-98116-412-0LHD,10,9.07,11.1,0.12,"2,008","2,010",,,,,
,IZMR051 RB,DOOR MIRROR RH ELECTRIC CP W/LONG LED LAMP 5 CORD RHD,Isuzu,D-MAX,8-98116-412-0,10,8.57,9.85,0.12,"2,008","2,010",,,,,
15,FDMR047 RA,DOOR MIRROR RH EUROPE,Ford,FOCUS,DEVF-VEEQM-DR,1,0.46,7.11,1.64,"2,009","2,010",,,,,
,8-97363-787-0,DOOR MIRROR RH OEM,Isuzu,D-MAX,8-97363-787-0,1,1.8,2.66,0.01,"2,006","2,006",,Door Mirror,,Front,Right Side
,8-98193-671-0,DOOR MIRROR RH WITH SIGNAL LAMP,Isuzu,D-MAX,8-98193-671-0,1,2.54,2.09,0.02,"2,012","2,016",,Door Mirror,,Front,Right Side
,IZMR049 RB,DOOR MIRROR W/LIGHT LH SILVER,Isuzu,DMAX,8-97400-947-0,1,1.93,2.24,0.02,"2,007","2,008",,,,,
2,IZMR049 LB,DOOR MIRROR W/LIGHT RH SILVER,Isuzu,DMAX,8-97400-955-0,1,1.85,2.71,0.02,"2,007","2,008",,,,,
15,IZMR047 LA,DOOR MIRROR WITH LED LH CP 3 CORD,Isuzu,D-MAX,8-97236-060-4,1,0.95,1.06,0.01,"2,007","2,008",,,,,
,IZMR047 RA,DOOR MIRROR WITH LED RH CP 3 CORD,Isuzu,D-MAX,8-97236-057-4,1,1.05,1.13,0.01,"2,007","2,008",,,,,
5,8-97408-280-4,DOOR MIRROR WITH LIGHT LH SILVER OEM,Isuzu,D-MAX,8-97408-280-4,1,2.27,2.3,0.02,"2,007","2,008",,Door Mirror,,Front,Right Side
,8-97408-273-2,DOOR MIRROR WITH LIGHT RH SILVEROEM,Isuzu,D-MAX,8-97408-273-2,1,2.17,2.44,0.02,"2,007","2,008",,Door Mirror,,Front,Left Side
1,8-98165-114-1,DOOR MOULDING,Isuzu,D-MAX,8-98165-114-1,1,0.21,0.28,0.21,"2,012","2,016",,Door Mirror,,Front,Right Side
3,GMDT015 SB,DOOR MOULDING SET 4 DOOR CHROME,GMC,GMC,2275440L/,1,5.6,5.98,0.06,"2,014","2,016",,,,,
4,GMDT015 SC,DOOR MOULDING SET EXTRA CAB CHROME,GMC,GMC,L2MJ-KD1E8-2H,1,5.34,5.38,0.05,"2,014","2,016",,,,,
2,GMDT015 SA,DOOR MOULDINGS SET 2 DOOR CHROME,GMC,GMC,HA20-IGBP3-T4,1,3.64,3.4,0.03,"2,014","2,016",,,,,
5,8-97417-007-4,DOOR TRIM,Isuzu,D-MAX,8-97417-007-4,1,1.92,2.82,0.09,"2,012","2,016",,Door Mouldings,,Front,Right Side
,8-97417-009-4,DOOR TRIM,Isuzu,D-MAX,8-97417-009-4,1,1.9,3.17,0.09,"2,012","2,016",,Door,,Front,Right Side
11,FDDT011 SA,DOOR TRIM SET,Ford,FIESTA,YS61-A25532-EBW,1,5.14,9.63,0.23,"2,003","2,003",,,,,
12,FDDT011 SB,DOOR TRIM SET,Ford,FIESTA,3N21-8A133-ABW,1,4.84,20.48,0.11,"2,005","2,005",,,,,
5,RB-700A FD,DOUBLE ROLLBAR WITH ARMS,Ford,DURATORQ,0VAB-73HH3-D6,1,14.01,11.7,0.14,"2,006","2,006",,Door,,Front,Right Side
14,EFB011 FD,ELECTRIC FAN,Ford,FIESTA,3N21-8C607-AD,1,17.89,7.27,1.62,"2,003","2,005",,,,,
11,UR61-38-812A,ENGIND UNDDER COVER,Ford,EVEREST,UR61-38-812A,1,1.45,24.24,0.14,"2,011","2,014",,Stablizer Assembly,,Front,Center
4,FDEC041 NA,ENGINE COVER,Ford,FOCUS,5M5G-6A-949,1,3.22,5.79,0.03,"2,005","2,007",,,,,
3,WE57-10-230,ENGINE COVER,Ford,RANGER,WE57-10-230,1,0.88,1.66,0.03,"2,010","2,010",,Engine Oil Cap,,Front,Center
6,FDEU111 NA,ENGINE COVER UNDER,Ford,RANGER RAPTOR,L5IK-L8FB2-P4,1,6.93,4.57,0.54,"2,022","2,022",,,,,
11,EFB029 FD,ENGINE FAN BLADE,Ford,RANGER,WL51-15-141,5,5.05,4.9,0.05,"1,999","2,003",,,,,
7,EFB037 IZ,ENGINE FAN BLADE,Isuzu,D-MAX,8-97920-295-0,20,9.35,12.31,0.16,"2,003","2,007",,,,,
8,8-97921-857-1,ENGINE FAN BLADE,Isuzu,D-MAX,8-97921-857-1,1,0.84,0.97,0.02,"2,002","2,005",,Engine Fan Blade,,Front,Center
5,8-98162-703-0,ENGINE FAN BLADE,Isuzu,D-MAX,8-98162-703-0,1,0.97,1.25,0.02,"2,012","2,016",,Engine Fan Blade,,Front,Center
8,8-97921-857-0,ENGINE FAN BLADE 2500 CC,Isuzu,D-MAX,8-97921-857-0,1,0.71,1.04,0.01,"2,002","2,005",,Engine Fan Blade,,Front,Center
10,EFB039 FD,ENGINE FAN BLADE 3200CC,Ford,RANGER/BT-50,AB39-8C617-AB,1,1.01,1.32,0.01,"2,013","2,013",,,,,
2,UH75-38-811A,ENGINE SPLASH SHIELD,Ford,RANGER,UH75-38-811A,1,2.99,2.64,0.01,"2,009","2,010",,Engine Fan Blade,,Front,Center
1,UC3C-38-811D,ENGINE UNDER COVER / SHIELD,Ford,RANGER,UC3C-38-811D,1,0.11,0.12,0.05,"2,015","2,017",,Engine Fan Blade,,Front,Center
14,FDEC013 NA,ENGING COVER,Ford,FIESTA,18-880A,1,3.01,2.09,1.24,"2,009","2,010",,,,,
7,8-98139-376-0,EVAPORATOR,Isuzu,D-MAX,8-98139-376-0,1,34.1,9.18,0.84,"2,012","2,016",,Engine Fan Blade,,Front,Center
4,8-98291-531-0,EVAPORATOR,Isuzu,DMAX BLUE POWER,8-98291-531-0,1,1.05,1.8,0.04,"2,015","2,017",,Tank Reserve,,Front,Center
6,8-98104-094-1,EXTENSION,Isuzu,ALL NEW DMAX,8-98104-094-1,1,3.93,4.49,0.03,"2,012","2,016",,Tank Reserve,,Front,Center
,8-98101-951-0,EXTENSION FRONT BUMPER LOWER LH 4WD,Isuzu,D-MAX,8-98101-951-0,1,1.02,1.11,0.01,"2,012","2,016",,Fender  ,,Front,Left Side
6,8-98101-950-0,EXTENSION FRONT BUMPER LOWER RH 4WD,Isuzu,D-MAX,8-98101-950-0,1,1.04,0.88,0.01,"2,012","2,016",,Fender  ,,Front,Right Side
1,IZB053 NA,F. BUMPER 2WD,Isuzu,D-MAX,8-98193-444-1,1,4.28,4.78,0.06,"2,012","2,016",,,,,
2,IZB037 NB,F. BUMPER 4WD,Isuzu,D-MAX,8-97235-966-2,1,4.31,4.01,0.06,"2,002","2,003",,,,,
2,IZB055 NA,F. BUMPER 4WD,Isuzu,D-MAX,8-98193-447-1,1,4.71,5.22,0.06,"2,012","2,016",,,,,
1,FDB039 NA,F. BUMPER BK,Ford,DURATORQUE,UC9P-50-031A,1,3.32,3.34,0.06,"2,011","2,012",,,,,
4,IZB030 ND,F. BUMPER D.GY W/ HOLE,Isuzu,GM,GM-2719007,1,9.34,10.33,0.04,"2,000","2,002",,,,,
3,IZB030 NC,F. BUMPER D.GY W/O HOLE,Isuzu,GM,GM-2719006,1,11.26,10.85,0.05,"2,000","2,002",,,,,
5,FDSP015 LA,F. BUMPER FINISHER LH SPORT,Ford,FIESTA,8A69-17F909,1,0.07,0.06,0,"2,009","2,010",,,,,
,FDSP015 RA,F. BUMPER FINISHER RH SPORT,Ford,FIESTA,8A69-17F908,1,0.07,0.06,0,"2,009","2,010",,,,,
5,FDP015 CA,F. BUMPER LOWER PANEL,Ford,FIESTA,8A61-17B769,10,0.52,0.45,0.01,"2,009","2,010",,,,,
6,FDP015 NA,F. BUMPER PROTECTOR,Ford,FIESTA,8A61-8B384,10,11.49,10.83,0.28,910,910,,,,,
1,UH98-52-210,F. FENDER W/ F.F. HOLE 4WD LH,Ford,FORD RANGER,UH98-52-210,1,3.07,3.98,0.19,"1,998","2,002",,Fender  ,,Front,Left Side
,UH98-52-110,F. FENDER W/ F.F. HOLE 4WD RH,Ford,FORD RANGER,UH98-52-110,1,3.17,5.15,0.22,"1,998","2,002",,Fender  ,,Front,Right Side
1,IZB037 NA,F.BUMPER 2 WD,Isuzu,D-MAX,8-97330-923-0/235-962-2,1,3.7,3.86,0.06,"2,002","2,003",,,,,
